,2000-2004,2005-2009,2010-2014,2015-2019,2020-2024
00:00-00:59,3804,2309,1251,1456,518
01:00-01:59,3687,3911,898,1228,252
02:00-02:59,1907,1145,583,735,164
03:00-03:59,961,902,395,370,120
04:00-04:59,915,686,269,341,112
05:00-05:59,1048,1128,399,331,62
06:00-06:59,1099,1276,463,510,107
07:00-07:59,1359,1384,637,620,180
08:00-08:59,1696,2140,979,927,557
09:00-09:59,1934,2657,1421,1780,1226
10:00-10:59,2108,2968,2034,2655,2421
11:00-11:59,2077,3093,2192,3299,2809
12:00-12:59,2200,3555,2057,3206,2308
13:00-13:59,2821,3743,2217,2928,1910
14:00-14:59,2988,4109,2106,3003,2441
15:00-15:59,3210,4135,2127,2884,2556
16:00-16:59,3439,3474,2063,2993,2370
17:00-17:59,3255,3247,2020,3015,1776
18:00-18:59,3247,3122,1752,2386,1308
19:00-19:59,3207,3120,1619,1838,1065
20:00-20:59,2908,3143,1378,1790,809
21:00-21:59,2629,3205,1496,1765,906
22:00-22:59,2717,3332,1631,2014,947
23:00-23:59,2417,2938,1539,1945,880
