Hour,2004-2004,2005-2005,2006-2006,2007-2007,2008-2008,2009-2009,2010-2010,2011-2011,2012-2012,2013-2013,2014-2014,2015-2015,2016-2016,2017-2017,2018-2018,2019-2019,2020-2020,2021-2021,2022-2022,2023-2023
00:00,470,421,442,660,870,741,699,1127,1032,980,1114,999,738,565,394,574,506,407,423,155
01:00,399,333,508,684,1003,796,565,877,770,709,812,745,537,424,236,409,290,319,281,78
02:00,246,209,264,258,511,511,444,666,600,509,606,510,305,242,210,297,204,202,184,57
03:00,235,199,187,262,499,401,347,462,451,323,369,341,211,181,112,151,192,138,168,43
04:00,161,132,251,213,363,245,246,316,304,220,321,219,147,82,87,101,142,105,107,32
05:00,131,282,325,241,281,245,213,279,180,243,233,156,125,86,63,92,111,106,109,41
06:00,144,261,404,282,306,259,251,272,165,193,160,162,124,171,82,97,98,112,125,31
07:00,157,215,394,375,485,384,382,465,239,294,216,201,190,178,98,151,115,107,176,49
08:00,237,243,446,468,498,644,559,526,434,456,445,389,381,265,163,260,190,168,227,84
09:00,209,269,469,595,659,600,662,700,652,757,703,716,609,382,257,645,514,408,425,179
10:00,231,275,537,588,637,766,677,870,977,1444,1011,971,858,567,404,920,978,798,590,261
11:00,235,312,582,610,777,626,749,1023,1184,1529,1259,1233,1157,868,632,1110,935,789,779,270
12:00,288,322,642,726,781,808,773,1013,1188,1515,1316,1181,1252,901,637,1004,830,826,747,250
13:00,389,377,669,689,915,872,866,1154,1361,1555,1305,1240,1158,888,654,853,678,810,685,276
14:00,410,426,634,688,1069,1018,940,1095,1479,1524,1363,1330,1164,962,611,884,913,897,840,284
15:00,446,457,726,723,1024,956,870,1202,1414,1484,1377,1249,1334,873,621,837,923,933,805,267
16:00,448,363,657,631,942,1044,957,1137,1413,1440,1292,1209,1206,908,594,922,914,975,754,258
17:00,401,338,654,677,943,951,957,1185,1475,1230,1348,1194,1268,873,635,872,833,717,718,232
18:00,433,387,712,768,1007,1002,1053,1059,1387,1162,1241,1054,1092,874,546,611,655,606,574,230
19:00,446,380,690,701,1083,992,1018,1144,1303,1122,1076,995,921,628,422,536,547,503,515,227
20:00,373,416,693,675,1173,1110,986,1065,1230,1073,1085,962,936,633,530,429,534,517,480,241
21:00,396,424,713,718,1241,1233,1265,1158,1250,1277,1233,1170,878,650,504,489,563,625,470,211
22:00,392,444,741,754,1149,1116,1287,1087,1297,1185,1293,1368,981,729,535,544,598,627,480,198
23:00,298,394,646,692,1027,914,1031,1124,1201,1141,1228,1190,944,725,520,647,622,560,498,170
